address,alias,op,size,type,unit,category,description
60,AnalyzerModel,R,5,UTF8,,device,Analyzer model string
70,SerialNumber,R,2,UInt32,,device,Serial number
72,APPVersion,R,1,UInt16,,device,APP version X.Y.Z
73,IAPVersion,R,1,UInt16,,device,IAP version X.Y.Z
74,HWVersion,R,1,UInt16,,device,HW version ab.c:xy.z
75,DeviceDateTime,R/WC,4,DateTime,,device,Internal clock
300,InstructionCode,R/W,1,UInt16,,instruction,Command code
424,InstructionEcho,R,1,UInt16,,instruction,Echoed command code
425,InstructionResult,R,1,UInt16,,instruction,0 ok / 80 invalid code / 81 invalid param / 82 invalid count / 83 not executed
500,WiringMode,R/WC,1,UInt16,,config,0=3P4W_4CT 1=3P4W_3CT 2=3P3W_3CT 3=3P3W_2CT 4=1P2W
501,GridFrequency,R/WC,1,UInt16,Hz,config,50 or 60
502,NominalVoltage,R/WC,2,UInt32,V,config,Nominal voltage
504,ABCCTAccessMode,R/WC,1,UInt16,,config,0=Rcoil 1=CT
505,ABCRcoilSensitivity,R/WC,2,UInt32,mV/kA@50Hz,config,real x100
507,ABCRcoilNominal,R/WC,2,UInt32,A,config,
509,ABCRcoilRatio,R/WC,2,UInt32,,config,real x10000
511,ABCCTSensitivity,R/WC,2,UInt32,mV/A,config,real x100
513,ABCCTNominal,R/WC,2,UInt32,A,config,
515,ABCCTRatio,R/WC,2,UInt32,,config,real x10000
517,NCTAccessMode,R/WC,1,UInt16,,config,0=Rcoil 1=CT
518,NRcoilSensitivity,R/WC,2,UInt32,mV/kA@50Hz,config,real x100
520,NRcoilNominal,R/WC,2,UInt32,A,config,
522,NRcoilRatio,R/WC,2,UInt32,,config,real x10000
524,NCTSensitivity,R/WC,2,UInt32,mV/A,config,real x100
526,NCTNominal,R/WC,2,UInt32,A,config,
528,NCTRatio,R/WC,2,UInt32,,config,real x10000
530,ABCVTRatio,R/WC,2,UInt32,,config,real x10000
532,NVTRatio,R/WC,2,UInt32,,config,real x10000
